metric,primary,candidate,delta,allowed_delta,status
latency_p95,1093.6832935786556,1093.6832935786556,0.0,21.873665871573113,PASS
err_rate,0.014,0.014,0.0,0.1,PASS
cost_krw,278.5758,278.5758,0.0,2.7857580000000004,PASS
citation_cov,0.981,0.981,0.0,0.5,PASS
parity_delta,0.004956631953154498,0.004956631953154498,0.0,0.2,PASS
